,Year,Weight,Score
107,2013,16,0.30935251798561153
108,2014,16,0.2945945945945946
109,2015,16,0.28293736501079914
110,2016,16,0.28933092224231466
111,2017,16,0.29893778452200304
112,2011,17,0.2765957446808511
113,2012,17,0.2864864864864865
114,2013,17,0.30935251798561153
115,2014,17,0.2945945945945946
116,2015,17,0.28293736501079914
117,2016,17,0.28933092224231466
118,2017,17,0.29893778452200304
119,2011,18,0.2765957446808511
120,2012,18,0.2864864864864865
121,2013,18,0.30935251798561153
122,2014,18,0.2945945945945946
123,2015,18,0.28293736501079914
124,2016,18,0.28933092224231466
125,2017,18,0.29893778452200304
126,2011,19,0.2765957446808511
127,2012,19,0.2864864864864865
128,2013,19,0.30935251798561153
129,2014,19,0.2945945945945946
130,2015,19,0.28293736501079914
131,2016,19,0.28933092224231466
132,2017,19,0.29893778452200304
133,2011,20,0.2765957446808511
134,2012,20,0.2864864864864865
135,2013,20,0.30935251798561153
136,2014,20,0.2945945945945946
137,2015,20,0.28293736501079914
138,2016,20,0.28933092224231466
139,2017,20,0.29893778452200304
140,2011,21,0.2765957446808511
141,2012,21,0.2864864864864865
142,2013,21,0.30935251798561153
143,2014,21,0.2945945945945946
144,2015,21,0.28293736501079914
145,2016,21,0.28933092224231466
146,2017,21,0.29893778452200304
147,2011,22,0.2765957446808511
148,2012,22,0.2864864864864865
149,2013,22,0.30935251798561153
150,2014,22,0.2945945945945946
151,2015,22,0.28293736501079914
152,2016,22,0.28933092224231466
153,2017,22,0.29893778452200304
154,2011,23,0.2765957446808511
155,2012,23,0.2864864864864865
156,2013,23,0.30935251798561153
157,2014,23,0.2945945945945946
158,2015,23,0.28293736501079914
159,2016,23,0.28933092224231466
160,2017,23,0.29893778452200304
161,2011,24,0.2765957446808511
162,2012,24,0.2864864864864865
163,2013,24,0.30935251798561153
164,2014,24,0.2945945945945946
165,2015,24,0.28293736501079914
166,2016,24,0.28933092224231466
167,2017,24,0.29893778452200304
168,2011,25,0.2765957446808511
169,2012,25,0.2864864864864865
170,2013,25,0.30935251798561153
171,2014,25,0.2945945945945946
172,2015,25,0.28293736501079914
173,2016,25,0.28933092224231466
174,2017,25,0.29893778452200304
175,2011,26,0.2765957446808511
176,2012,26,0.2864864864864865
177,2013,26,0.30935251798561153
178,2014,26,0.2945945945945946
179,2015,26,0.28293736501079914
180,2016,26,0.28933092224231466
181,2017,26,0.29893778452200304
182,2011,27,0.2765957446808511
183,2012,27,0.2864864864864865
184,2013,27,0.30935251798561153
185,2014,27,0.2945945945945946
186,2015,27,0.28293736501079914
187,2016,27,0.28933092224231466
188,2017,27,0.29893778452200304
189,2011,28,0.2765957446808511
190,2012,28,0.2864864864864865
191,2013,28,0.30935251798561153
192,2014,28,0.2945945945945946
193,2015,28,0.28293736501079914
194,2016,28,0.28933092224231466
195,2017,28,0.29893778452200304
196,2011,29,0.2765957446808511
197,2012,29,0.2864864864864865
198,2013,29,0.30935251798561153
199,2014,29,0.2945945945945946
200,2015,29,0.28293736501079914
201,2016,29,0.28933092224231466
202,2017,29,0.29893778452200304
203,2011,30,0.2765957446808511
204,2012,30,0.2864864864864865
205,2013,30,0.30935251798561153
206,2014,30,0.2945945945945946
207,2015,30,0.28293736501079914
208,2016,30,0.28933092224231466
209,2017,30,0.29893778452200304
210,2011,31,0.2765957446808511
211,2012,31,0.2864864864864865
212,2013,31,0.30935251798561153
213,2014,31,0.2945945945945946
214,2015,31,0.28293736501079914
215,2016,31,0.28933092224231466
216,2017,31,0.29893778452200304
217,2011,32,0.2765957446808511
218,2012,32,0.2864864864864865
219,2013,32,0.30935251798561153
220,2014,32,0.2945945945945946
221,2015,32,0.28293736501079914
222,2016,32,0.28933092224231466
223,2017,32,0.29893778452200304
224,2011,33,0.2765957446808511
225,2012,33,0.2864864864864865
226,2013,33,0.30935251798561153
227,2014,33,0.2945945945945946
228,2015,33,0.28293736501079914
229,2016,33,0.28933092224231466
230,2017,33,0.29893778452200304
231,2011,34,0.2765957446808511
232,2012,34,0.2864864864864865
233,2013,34,0.30935251798561153
234,2014,34,0.2945945945945946
235,2015,34,0.28293736501079914
236,2016,34,0.28933092224231466
237,2017,34,0.29893778452200304
238,2011,35,0.2765957446808511
239,2012,35,0.2864864864864865
240,2013,35,0.30935251798561153
241,2014,35,0.2945945945945946
242,2015,35,0.28293736501079914
243,2016,35,0.28933092224231466
244,2017,35,0.29893778452200304
245,2011,36,0.2765957446808511
246,2012,36,0.2864864864864865
247,2013,36,0.30935251798561153
248,2014,36,0.2945945945945946
249,2015,36,0.28293736501079914
250,2016,36,0.28933092224231466
251,2017,36,0.29893778452200304
252,2011,37,0.2765957446808511
253,2012,37,0.2864864864864865
254,2013,37,0.30935251798561153
255,2014,37,0.2945945945945946
256,2015,37,0.28293736501079914
257,2016,37,0.28933092224231466
258,2017,37,0.29893778452200304
259,2011,38,0.2765957446808511
260,2012,38,0.2864864864864865
261,2013,38,0.30935251798561153
262,2014,38,0.2945945945945946
263,2015,38,0.28293736501079914
264,2016,38,0.28933092224231466
265,2017,38,0.29893778452200304
266,2011,39,0.2765957446808511
267,2012,39,0.2864864864864865
268,2013,39,0.30935251798561153
269,2014,39,0.2945945945945946
270,2015,39,0.28293736501079914
271,2016,39,0.28933092224231466
272,2017,39,0.29893778452200304
273,2011,40,0.2765957446808511
274,2012,40,0.2864864864864865
