,Date,Predicted
911,2016-07-06,0
912,2016-07-07,0
913,2016-07-08,0
914,2016-07-09,0
915,2016-07-10,0
916,2016-07-12,0
917,2016-07-13,1
918,2016-07-14,0
919,2016-07-15,0
920,2016-07-16,0
921,2016-07-17,0
922,2016-07-18,1
923,2016-07-20,0
924,2016-07-21,0
925,2016-07-22,0
926,2016-07-23,0
927,2016-07-24,0
928,2016-07-24,0
929,2016-07-12,0
930,2016-07-13,0
931,2016-07-14,0
932,2016-07-15,0
933,2016-07-16,0
934,2016-07-18,0
935,2016-07-18,0
936,2016-07-30,0
937,2016-08-21,0
938,2016-08-22,0
939,2016-08-23,0
940,2016-08-24,0
941,2016-08-25,0
942,2016-08-26,0
943,2016-08-27,0
944,2016-08-28,0
945,2016-08-29,0
946,2016-08-31,0
947,2016-09-01,0
948,2016-09-02,0
949,2016-09-03,0
950,2016-09-04,0
951,2016-09-05,0
952,2016-09-07,0
953,2016-09-08,0
954,2016-09-09,0
955,2016-09-10,0
956,2016-09-11,0
957,2016-09-11,0
958,2016-08-21,0
959,2016-08-28,0
960,2016-09-09,1
961,2016-09-11,0
962,2016-09-19,0
963,2016-09-20,0
964,2016-09-21,1
965,2016-09-22,1
966,2016-09-24,0
967,2016-09-25,0
968,2016-09-25,0
969,2016-10-01,0
970,2017-01-17,1
971,2017-01-18,0
972,2017-01-19,1
973,2017-01-20,1
974,2017-01-21,0
975,2017-01-22,1
976,2017-01-22,0
977,2017-01-29,1
978,2017-02-23,0
979,2017-02-24,0
980,2017-02-25,0
981,2017-02-26,0
982,2017-02-26,1
983,2017-02-25,1
984,2017-03-04,0
985,2017-03-05,0
986,2017-03-06,0
987,2017-03-07,0
988,2017-03-08,0
989,2017-03-09,0
990,2017-03-10,0
991,2017-03-11,1
992,2017-03-12,0
993,2017-03-12,0
994,2017-03-09,0
995,2017-03-10,0
996,2017-03-11,0
997,2017-03-12,0
998,2017-03-13,0
999,2017-03-14,0
1000,2017-03-14,0
1001,2017-03-18,1
1002,2017-03-20,0
1003,2017-03-22,0
1004,2017-03-23,0
1005,2017-03-24,0
1006,2017-03-25,0
1007,2017-03-26,0
1008,2017-03-26,0
1009,2017-03-22,1
1010,2017-03-24,1
1011,2017-03-26,1
1012,2017-04-02,0
1013,2017-04-03,0
1014,2017-04-04,0
1015,2017-04-05,0
1016,2017-04-06,0
1017,2017-04-07,0
1018,2017-04-08,0
1019,2017-04-08,0
1020,2017-04-09,1
1021,2017-04-16,0
1022,2017-04-19,0
1023,2017-04-23,0
1024,2017-04-26,0
1025,2017-04-27,0
1026,2017-04-28,0
1027,2017-04-29,0
1028,2017-04-30,1
1029,2017-04-30,0
1030,2017-05-01,0
1031,2017-05-05,0
1032,2017-05-06,0
1033,2017-05-07,0
1034,2017-05-09,0
1035,2017-05-10,0
1036,2017-05-11,0
1037,2017-05-12,1
1038,2017-05-13,0
1039,2017-05-14,0
1040,2017-05-16,0
1041,2017-05-17,0
1042,2017-05-18,0
1043,2017-05-19,1
1044,2017-05-20,0
1045,2017-05-21,0
1046,2017-05-23,0
1047,2017-05-24,0
1048,2017-05-25,0
1049,2017-05-26,0
1050,2017-05-27,0
1051,2017-05-28,0
1052,2017-05-28,0
1053,2017-05-14,0
1054,2017-05-15,0
1055,2017-05-16,1
1056,2017-05-17,0
1057,2017-05-18,0
1058,2017-05-19,0
1059,2017-05-20,0
1060,2017-05-20,0
1061,2017-06-04,0
1062,2017-06-05,0
1063,2017-06-06,0
1064,2017-06-07,0
1065,2017-06-08,0
1066,2017-06-09,0
1067,2017-06-10,0
1068,2017-06-11,0
1069,2017-06-11,0
1070,2017-06-10,0
1071,2017-06-11,0
1072,2017-06-12,0
1073,2017-06-13,0
1074,2017-06-14,1
