,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
205279,205332.0,63,1273.0,42,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
201424,201477.0,60,1240.0,95,33.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
192561,192606.0,DNF,1140.0,114,28.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1023.6628566241017,350.0,226.60561705996648,2017-01-22
5020,5020.0,113,29.0,1,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
187542,187587.0,84,1116.0,28,36.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
11081,11082.0,36,56.0,19,22.0,9.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1247.8215123304067,350.0,226.60561705996648,2017-01-22
188948,188993.0,158,1120.0,7,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
4395,4395.0,54,27.0,46,33.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,743.46453699122,350.0,226.60561705996648,2017-01-22
207443,207496.0,89,1285.0,74,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,575.3455452114908,350.0,226.60561705996648,2017-01-22
1026,1026.0,84,2.0,7,34.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
190177,190222.0,100,1125.0,40,26.0,16.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1500.0,1500.0,350.0,350.0,2017-10-15
66915,66925.0,53,297.0,114,28.0,200.0,51,-1.0,10/15/2017,-,0.0,0 km,132.0,2017,10,15,1672.2542048134135,2619.4233514947005,157.51303592400504,204.2970645700042,2017-10-15
