,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
87684,87701.0,84,425.0,56,22.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
85723,85740.0,15,407.0,7,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
27892,27896.0,17,127.0,68,29.0,120.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2340.737678863788,350.0,223.2269653039427,1500.0,1939.3208338911822,350.0,267.3822067751187,2016-01-24
81854,81871.0,11,377.0,118,22.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
28360,28364.0,25,128.0,46,25.0,24.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1581.361710857786,350.0,223.2269653039427,1500.0,1140.55568136176,350.0,267.3822067751187,2016-01-24
80349,80366.0,45,367.0,101,22.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
78155,78172.0,87,352.0,58,25.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2099.0738643970662,350.0,267.3822067751187,2016-01-24
29357,29361.0,64,131.0,1,30.0,9.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
77743,77760.0,115,348.0,74,22.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
77522,77539.0,174,347.0,7,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
30026,30030.0,57,135.0,1,23.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
76687,76704.0,148,341.0,46,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1140.55568136176,350.0,267.3822067751187,2016-01-24
75813,75830.0,99,335.0,26,21.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2258.8268949029507,350.0,267.3822067751187,2016-01-24
173660,173702.0,85,948.0,74,32.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
174117,174159.0,103,951.0,1,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
35959,35963.0,1,162.0,118,23.0,140.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2394.9788194356456,350.0,223.2269653039427,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
