52,53,54,,,0,WIGGINS Bradley,30.0,Sky Procycling,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,55,,,0,VAN GARDEREN Tejay,22.0,HTC - High Road,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,56,,,0,ŠPILAK Simon,24.0,Lampre - ISD,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,57,,,0,BOOKWALTER Brent,27.0,BMC Racing Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,58,,,0,THOMAS Geraint,24.0,Sky Procycling,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,59,,,0,SÁNCHEZ Samuel,33.0,Euskaltel - Euskadi,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,60,,,0,HESJEDAL Ryder,30.0,Team Garmin - Cervélo,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,61,,,0,GALLOPIN Tony,22.0,"Cofidis, le Crédit en Ligne",,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,62,,,0,EL FARES Julien,25.0,"Cofidis, le Crédit en Ligne",,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,63,,,0,VAITKUS Tomas,29.0,Pro Team Astana,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,64,,,0,TJALLINGII Maarten,33.0,Rabobank Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,65,,,0,ROGERS Michael,31.0,Sky Procycling,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,66,,,0,VICHOT Arthur,22.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,67,,,0,MALACARNE Gael,24.0,Bretagne Schuller,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,68,,,0,DIDIER Laurent,26.0,Saxo Bank - Sungard,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,69,,,0,VORGANOV Eduard,28.0,Team Katusha,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,70,,,0,MOINARD Amaël,29.0,BMC Racing Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,71,,,0,NERZ Dominik,21.0,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,72,,,0,TROFIMOV Yuri,27.0,Team Katusha,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,73,,,0,LEUKEMANS Björn,33.0,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,74,,,0,DE CLERCQ Bart,24.0,Omega Pharma-Lotto,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,75,,,0,TONDO Xavier,32.0,Movistar Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,76,,,0,PINEAU Cédric,25.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,77,,,0,RIGHI Daniele,34.0,Lampre - ISD,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,78,,,0,GUTIÉRREZ José Iván,32.0,Movistar Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,79,,,0,DEVOLDER Stijn,31.0,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,80,,,0,KESSIAKOFF Fredrik,30.0,Pro Team Astana,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,81,,,0,PERAUD Jean-Christophe,33.0,AG2R La Mondiale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,82,,,0,RASCH Gabriel,34.0,Team Garmin - Cervélo,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,83,,,0,SICARD Romain,23.0,Euskaltel - Euskadi,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,84,,,0,GAUTIER Cyril,23.0,Team Europcar,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,85,,,0,VEIKKANEN Jussi,29.0,Omega Pharma-Lotto,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,86,,,0,MINARD Sébastien,28.0,AG2R La Mondiale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
