,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
100,101,97.0,+45:49,71,BOIVIN Guillaume,28,Israel Cycling Academy,,,1:271:27,47.543,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
101,102,59.0,+27:53,33,KOREN Kristijan,31,Bahrain Merida Pro Cycling Team,,,",,1:27",47.543,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
102,103,118.0,+56:55,155,KITTEL Marcel,29,Team Katusha Alpecin,,,1:281:28,47.48,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
103,104,98.0,+46:16,64,FOLIFOROV Alexander,26,Gazprom-RusVelo,,,",,1:28",47.48,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
104,105,74.0,+34:04,23,GATTO Oscar,33,Astana Pro Team,,,",,1:28",47.48,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
105,106,69.0,+31:23,22,CATALDO Dario,32,Astana Pro Team,,,1:301:30,47.356,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
106,107,82.0,+37:36,86,MAES Nikolas,31,Lotto Soudal,,,1:321:32,47.232,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
107,108,116.0,+55:52,183,ARNDT Nikias,26,Team Sunweb,,,1:341:34,47.108999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
108,109,75.0,+34:22,85,MARCZYŃSKI Tomasz,34,Lotto Soudal,,,",,1:34",47.108999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
109,110,112.0,+54:17,65,KURIANOV Stepan,21,Gazprom-RusVelo,,,",,1:34",47.108999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
110,111,66.0,+28:57,112,CANOLA Marco,29,Nippo - Vini Fantini - Europa Ovini,,,1:351:35,47.048,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
111,112,113.0,+54:21,216,MOSCA Jacopo,24,Wilier Triestina - Selle Italia,,,1:371:37,46.926,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
112,113,55.0,+25:26,136,THWAITES Scott,28,Team Dimension Data,,,1:381:38,46.865,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
113,114,54.0,+24:16,116,PONZI Simone,31,Nippo - Vini Fantini - Europa Ovini,,,1:391:39,46.805,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
114,115,135.0,+1:17:04,212,BERTAZZO Liam,26,Wilier Triestina - Selle Italia,,,",,1:39",46.805,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
115,116,95.0,+45:31,125,RICHEZE Maximiliano,35,Quick-Step Floors,,,1:401:40,46.744,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
116,117,42.0,+18:44,87,VAN DER SANDE Tosh,27,Lotto Soudal,,,1:411:41,46.684,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
117,118,130.0,+1:02:17,214,COLEDAN Marco,29,Wilier Triestina - Selle Italia,,,1:421:42,46.623999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
118,119,133.0,+1:03:19,62,BOEV Igor,28,Gazprom-RusVelo,,,",,1:42",46.623999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
119,120,99.0,+46:36,113,BAGIOLI Nicola,23,Nippo - Vini Fantini - Europa Ovini,,,1:441:44,46.504,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
120,121,120.0,+57:38,115,HATSUYAMA Sho,29,Nippo - Vini Fantini - Europa Ovini,,,",,1:44",46.504,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
121,122,56.0,+26:39,35,PELLIZOTTI Franco,40,Bahrain Merida Pro Cycling Team,,,1:471:47,46.325,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
