,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
46,47,47,+0:37,97,VAN BAARLE Dylan,25,Cannondale-Drapac Pro Cycling Team,,,",,0:37",46.619,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
47,48,48,+0:37,138,VALGREN Michael,25,Astana Pro Team,,,",,0:37",46.619,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
48,49,49,+0:38,107,KLUGE Roger,31,ORICA-Scott,,,0:380:38,46.552,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
49,50,50,+0:38,8,VAKOČ Petr,25,Quick-Step Floors,,,",,0:38",46.552,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
50,51,51,+0:38,5,KEISSE Iljo,34,Quick-Step Floors,,,",,0:38",46.552,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
51,52,52,+0:39,173,BAKELANTS Jan,31,AG2R La Mondiale,,,0:390:39,46.485,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
52,53,53,+0:40,71,MARTIN Tony,32,Team Katusha Alpecin,,,0:400:40,46.418,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
53,54,54,+0:40,213,DUIJN Huub,32,Vérandas Willems-Crelan,,,",,0:40",46.418,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
54,55,55,+0:41,145,POLANC Jan,25,UAE Team Emirates,,,0:410:41,46.352,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
55,56,56,+0:42,136,FOMINYKH Daniil,25,Astana Pro Team,,,0:420:42,46.286,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
56,57,57,+0:42,147,TROIA Oliviero,22,UAE Team Emirates,,,",,0:42",46.286,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
57,58,58,+0:42,171,NAESEN Oliver,26,AG2R La Mondiale,,,",,0:42",46.286,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
58,59,59,+0:43,203,SMITH Dion,24,Wanty - Groupe Gobert,,,0:430:43,46.22,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
59,60,60,+0:43,172,BAGDONAS Gediminas,31,AG2R La Mondiale,,,",,0:43",46.22,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
60,61,61,+0:43,158,VINCENT Léo,21,FDJ,,,",,0:43",46.22,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
61,62,62,+0:44,45,HAMILTON Chris,22,Team Sunweb,,,0:440:44,46.153999999999996,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
62,63,65,+0:45,87,VAN POPPEL Danny,24,Team Sky,,,0:450:45,46.088,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
