,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
81,82,82,-,41,POZZOVIVO Domenico,28,Colnago - CSF Inox,,",,1:11",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
82,83,83,-,44,PIRAZZI Stefano,24,Colnago - CSF Inox,,",,1:11",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
83,84,84,-,81,RODRÍGUEZ Joaquim,31,Team Katusha,,1:131:13,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
84,85,85,-,84,CARUSO Giampaolo,30,Team Katusha,,",,1:13",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
85,86,86,-,82,DI LUCA Danilo,35,Team Katusha,,",,1:13",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
86,87,87,-,96,NIEMIEC Przemysław,31,Lampre - ISD,,1:141:14,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
87,88,88,-,9,TABORRE Fabio,25,Acqua & Sapone,,1:161:16,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
88,89,89,-,153,GATTO Oscar,26,Farnese Vini-Neri-Sottoli,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
89,90,90,-,1,GARZELLI Stefano,37,Acqua & Sapone,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
90,91,91,-,6,MIHOLJEVIĆ Vladimir,37,Acqua & Sapone,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
91,92,92,-,157,NOÈ Andrea,42,Farnese Vini-Neri-Sottoli,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
92,93,93,-,4,BETANCUR Carlos,21,Acqua & Sapone,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
93,94,94,-,2,CODOL Massimo,38,Acqua & Sapone,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
94,95,95,-,193,CARLSTRÖM Kjell,34,Sky Procycling,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
95,96,96,-,151,FAILLI Francesco,27,Farnese Vini-Neri-Sottoli,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
96,97,97,-,175,SLAGTER Tom-Jelte,21,Rabobank Cycling Team,,",,1:16",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
97,98,98,-,163,CIOLEK Gerald,24,Quickstep Cycling Team,,1:211:21,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
98,99,99,-,54,ISASI Iñaki,34,Euskaltel - Euskadi,,1:221:22,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
99,100,100,-,51,ANTÓN Igor,28,Euskaltel - Euskadi,,",,1:22",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
100,101,101,-,58,OROZ Juan José,30,Euskaltel - Euskadi,,",,1:22",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
101,102,102,-,59,NIEVE Mikel,26,Euskaltel - Euskadi,,",,1:22",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
102,103,103,-,214,BEPPU Fumiyuki,28,RadioShack,,1:381:38,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
103,104,104,-,5,MARZOLI Ruggero,35,Acqua & Sapone,,1:421:42,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
104,105,105,-,146,JUFRÉ Josep,35,Pro Team Astana,,1:521:52,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
105,106,106,-,62,SASTRE Carlos,36,Geox-TMC Transformers,,1:551:55,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
106,107,107,-,150,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,,1:571:57,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
107,108,108,-,155,MAZZANTI Luca,37,Farnese Vini-Neri-Sottoli,,",,1:57",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
108,109,109,-,133,DE GREEF Francis,26,Omega Pharma-Lotto,,2:012:01,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
109,110,110,-,196,APPOLLONIO Davide,21,Sky Procycling,,2:052:05,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
110,111,111,-,36,BUTLER Chris,23,BMC Racing Team,,2:092:09,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
111,112,112,-,225,HOOGERLAND Johnny,27,Vacansoleil - DCM,,2:102:10,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
112,113,113,-,118,SZMYD Sylwester,33,Liquigas - Cannondale,,2:132:13,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
113,114,114,-,199,POSSONI Morris,26,Sky Procycling,,2:142:14,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
114,115,115,-,195,DOWNING Russell,32,Sky Procycling,,2:292:29,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
115,116,116,-,8,SARMIENTO Cayetano José,24,Acqua & Sapone,,2:362:36,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
116,117,117,-,139,LODEWYCK Klaas,23,Omega Pharma-Lotto,,2:422:42,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
117,118,118,-,117,SALERNO Cristiano,26,Liquigas - Cannondale,,2:522:52,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
118,119,119,-,86,VORGANOV Eduard,28,Team Katusha,,2:552:55,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
119,120,120,-,71,CAVENDISH Mark,25,HTC - High Road,,2:562:56,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
120,121,121,-,123,KONOVALOVAS Ignatas,25,Movistar Team,,2:582:58,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
121,122,122,-,124,OYARZÚN Carlos Iván,29,Movistar Team,,3:023:02,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
122,123,123,-,75,BAK Lars Ytting,31,HTC - High Road,,3:083:08,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
123,124,124,-,217,HUNTER Robert,34,RadioShack,,3:183:18,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
124,125,125,-,219,SELANDER Bjorn,23,RadioShack,,",,3:18",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
125,126,126,-,13,CHEREL Mikaël,25,AG2R La Mondiale,,3:263:26,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
126,127,127,-,119,VANOTTI Alessandro,30,Liquigas - Cannondale,,3:303:30,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
127,128,128,-,135,DOCKX Gert,22,Omega Pharma-Lotto,,",,3:30",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
128,129,129,-,134,DE CLERCQ Bart,24,Omega Pharma-Lotto,,",,3:30",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
129,130,130,-,95,HONDO Danilo,37,Lampre - ISD,,3:323:32,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
130,131,131,-,223,BELKOV Maxim,26,Vacansoleil - DCM,,3:453:45,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
131,132,132,-,35,KRISTOFF Alexander,23,BMC Racing Team,,3:493:49,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
132,133,133,-,39,ZAHNER Simon,28,BMC Racing Team,,",,3:49",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
133,134,134,-,32,BEYER Chad,24,BMC Racing Team,,",,3:49",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
134,135,135,-,229,VEUCHELEN Frederik,32,Vacansoleil - DCM,,",,3:49",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
135,136,136,-,107,WEGMANN Fabian,30,Leopard Trek,,3:503:50,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
136,137,137,-,166,MALACARNE Davide,23,Quickstep Cycling Team,,",,3:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
137,138,138,-,104,STAMSNIJDER Tom,25,Leopard Trek,,",,3:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
138,139,139,-,47,STORTONI Simone,25,Colnago - CSF Inox,,3:523:52,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
139,140,140,-,102,KLEMME Dominic,24,Leopard Trek,,3:543:54,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
140,141,141,-,18,KRIVTSOV Yuriy,32,AG2R La Mondiale,,3:573:57,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
141,142,142,-,12,BÉRARD Julien,23,AG2R La Mondiale,,",,3:57",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
142,143,143,-,48,BRAMBILLA Gianluca,23,Colnago - CSF Inox,,4:104:10,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
143,144,144,-,46,CANUTI Federico,25,Colnago - CSF Inox,,",,4:10",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
144,145,145,-,136,KAISEN Olivier,28,Omega Pharma-Lotto,,4:114:11,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
145,146,146,-,24,DE MARCHI Alessandro,24,Androni Giocattoli - Serramenti PVC Diquigiovanni,,4:134:13,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
146,147,147,-,7,NAPOLITANO Danilo,30,Acqua & Sapone,,4:154:15,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
147,148,148,-,66,KOZONTCHUK Dmitry,27,Geox-TMC Transformers,,4:174:17,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
148,149,149,-,52,SESMA Daniel,26,Euskaltel - Euskadi,,4:214:21,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
149,150,150,-,65,CHEULA Giampaolo,31,Geox-TMC Transformers,,4:244:24,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
150,151,151,-,56,ARAMENDIA Javier,24,Euskaltel - Euskadi,,4:324:32,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
151,152,152,-,149,ŠTANGELJ Gorazd,38,Pro Team Astana,,4:354:35,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
152,153,153,-,114,MARANGONI Alan,26,Liquigas - Cannondale,,4:414:41,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
153,154,154,-,49,FRAPPORTI Marco,26,Colnago - CSF Inox,,4:514:51,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
154,155,155,-,218,ROVNY Ivan,23,RadioShack,,4:594:59,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
155,156,156,-,88,HORRACH Joan,37,Team Katusha,,5:005:00,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
156,157,157,-,53,MÍNGUEZ Miguel,22,Euskaltel - Euskadi,,5:045:04,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
157,158,158,-,187,NAVARRO Daniel,27,Saxo Bank - Sungard,,5:205:20,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
158,159,159,-,184,HERNÁNDEZ BLÁZQUEZ Jesús,29,Saxo Bank - Sungard,,5:225:22,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
159,160,160,-,137,LANG Sebastian,31,Omega Pharma-Lotto,,5:255:25,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
160,161,161,-,78,RENSHAW Mark,28,HTC - High Road,,5:305:30,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
161,162,162,-,201,FARRAR Tyler,26,Team Garmin - Cervélo,,5:365:36,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
162,163,163,-,145,GOUROV Maxim,32,Pro Team Astana,,5:425:42,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
163,164,164,-,208,STETINA Peter,23,Team Garmin - Cervélo,,5:455:45,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
164,165,165,-,93,MARZANO Marco,30,Lampre - ISD,,5:485:48,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
165,166,166,-,45,SAVINI Filippo,26,Colnago - CSF Inox,,5:525:52,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
166,167,167,-,213,MCEWEN Robbie,38,RadioShack,,6:226:22,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
167,168,168,-,215,CARDOSO Manuel Antonio Leal,28,RadioShack,,6:246:24,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
168,169,169,-,115,DALL'ANTONIA Tiziano,27,Liquigas - Cannondale,,6:346:34,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
169,170,170,-,188,TOSATTO Matteo,36,Saxo Bank - Sungard,,6:366:36,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
170,171,171,-,87,LOSADA Alberto,29,Team Katusha,,6:426:42,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
171,172,172,-,55,CAZAUX Pierre,26,Euskaltel - Euskadi,,6:436:43,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
172,173,173,-,197,NORDHAUG Lars Petter,26,Sky Procycling,,6:496:49,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
