,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
99,100,107,▲7,56,SANZ Enrique,24,Movistar Team,,5,1:38:121:38:12,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
100,101,108,▲7,76,MARTINEZ Yannick,26,Team Europcar,,5,1:41:131:41:13,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
101,102,109,▲7,26,SØRENSEN Nicki,39,Tinkoff - Saxo,,5,1:42:011:42:01,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
102,103,110,▲7,16,VANOTTI Alessandro,33,Astana Pro Team,,5,1:43:101:43:10,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
103,104,111,▲7,98,SARAMOTINS Aleksejs,32,IAM Cycling,,5,1:43:111:43:11,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
104,105,114,▲9,115,POPOVYCH Yaroslav,34,Trek Factory Racing,,5,1:46:111:46:11,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
105,106,113,▲7,22,VALGREN Michael,22,Tinkoff - Saxo,,5,1:47:021:47:02,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
106,107,115,▲8,83,BROECKX Stig,24,Lotto Belisol,,5,1:48:221:48:22,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
107,108,116,▲8,107,MARINO Jean-Marc,30,Cannondale,,5,1:49:151:49:15,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
108,109,118,▲9,94,HINAULT Sébastien,40,IAM Cycling,,5,1:50:201:50:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
109,110,119,▲9,72,BERHANE Natnael,23,Team Europcar,,5,1:50:251:50:25,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
110,111,120,▲9,205,MATZKA Ralf,24,Team NetApp – Endura,,5,1:52:391:52:39,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
111,112,117,▲5,28,SUTHERLAND Rory,32,Tinkoff - Saxo,,5,1:52:451:52:45,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
112,113,121,▲8,207,SCHORN Daniel,25,Team NetApp – Endura,,5,1:53:211:53:21,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
113,114,122,▲8,167,NAVARDAUSKAS Ramūnas,26,Garmin Sharp,,5,1:53:321:53:32,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
114,115,123,▲8,208,THWAITES Scott,24,Team NetApp – Endura,,5,1:55:041:55:04,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
115,116,136,▲20,66,GOUGEARD Alexis,21,AG2R La Mondiale,,5,1:55:171:55:17,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
116,117,130,▲13,2,KIRYIENKA Vasil,32,Team Sky,,5,1:57:141:57:14,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
117,118,127,▲9,164,LANGEVELD Sebastian,29,Garmin Sharp,,5,1:59:331:59:33,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
118,119,128,▲9,38,TAARAMÄE Rein,27,"Cofidis, Solutions Crédits",,5,1:59:561:59:56,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
119,120,129,▲9,183,CIMOLAI Davide,24,Lampre - Merida,,5,2:01:182:01:18,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
120,121,131,▲10,154,DELAGE Mickaël,28,FDJ.fr,,5,2:02:002:02:00,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
121,122,133,▲11,173,DEVENYNS Dries,30,Team Giant - Shimano,,5,2:02:332:02:33,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
122,123,134,▲11,162,BAUER Jack,29,Garmin Sharp,,5,2:04:062:04:06,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
123,124,135,▲11,136,TSATEVICH Alexey,24,Team Katusha,,5,2:05:032:05:03,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
124,125,137,▲12,82,BOECKMANS Kris,27,Lotto Belisol,,5,2:12:582:12:58,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
125,126,138,▲12,5,PATE Danny,35,Team Sky,,5,2:15:362:15:36,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
126,127,139,▲12,194,HIVERT Jonathan,29,Belkin-Pro Cycling Team,,5,2:21:352:21:35,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
127,128,140,▲12,8,ZANDIO Xabier,37,Team Sky,,5,2:36:202:36:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
