,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
84,85,0,GOŁAŚ Michał,27,Vacansoleil - DCM,,5.0,55:2755:27,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
85,86,0,VOGONDY Nicolas,33,"Cofidis, le Crédit en Ligne",,5.0,55:2955:29,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
86,87,0,KNEES Christian,30,Sky Procycling,,5.0,55:4655:46,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
87,88,0,MONIER Damien,28,"Cofidis, le Crédit en Ligne",,5.0,56:3656:36,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
88,89,0,JOLY Sébastien,31,Saur - Sojasun,,5.0,57:3157:31,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
89,90,0,ROY Jérémy,27,FDJ,,5.0,58:1558:15,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
90,91,0,PERGET Mathieu,26,AG2R La Mondiale,,5.0,58:5458:54,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
91,92,0,ZANDIO Xabier,34,Sky Procycling,,5.0,59:1859:18,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
92,93,0,QUÉMÉNEUR Perrig,27,Team Europcar,,5.0,59:3659:36,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
93,94,0,NIERMANN Grischa,35,Rabobank Cycling Team,,5.0,1:00:151:00:15,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
94,95,0,BILBAO Pello,21,Euskaltel - Euskadi,,5.0,1:00:221:00:22,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
95,96,0,BUFFAZ Mickaël,32,"Cofidis, le Crédit en Ligne",,5.0,1:00:271:00:27,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
96,97,0,VANSUMMEREN Johan,30,Team Garmin - Cervélo,,5.0,1:01:411:01:41,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
97,98,0,SCHÄR Michael,24,BMC Racing Team,,5.0,1:01:501:01:50,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
98,99,0,LUND Anders,26,Leopard Trek,,5.0,1:02:051:02:05,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
99,100,0,QUINZIATO Manuel,31,BMC Racing Team,,5.0,1:02:141:02:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
100,101,0,SILIN Egor,22,Team Katusha,,5.0,1:02:251:02:25,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
101,102,0,MCCARTNEY Jason,37,RadioShack,,5.0,1:03:381:03:38,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
102,103,0,MINARD Sébastien,29,AG2R La Mondiale,,5.0,1:04:141:04:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
103,104,0,MALORI Adriano,23,Lampre - ISD,,5.0,1:05:161:05:16,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
104,105,0,GERRANS Simon,31,Sky Procycling,,5.0,1:07:391:07:39,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
105,106,0,DUQUE Leonardo Fabio,31,"Cofidis, le Crédit en Ligne",,5.0,1:08:291:08:29,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
106,107,0,ANZÀ Santo,30,Vacansoleil - DCM,,5.0,1:09:411:09:41,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
107,108,0,LONGO BORGHINI Paolo,30,Liquigas - Cannondale,,5.0,1:10:191:10:19,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
108,109,0,BOLE Grega,25,Lampre - ISD,,5.0,1:10:541:10:54,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
109,110,0,LIGTHART Pim,22,Vacansoleil - DCM,,5.0,1:11:121:11:12,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
110,111,0,GRIVKO Andrey,27,Pro Team Astana,,5.0,1:11:371:11:37,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
111,112,0,PÉREZ Aitor,33,Lampre - ISD,,5.0,1:12:441:12:44,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
112,113,0,WESTRA Lieuwe,28,Vacansoleil - DCM,,5.0,1:13:011:13:01,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
113,114,0,VERMOTE Julien,21,Quickstep Cycling Team,,5.0,1:16:511:16:51,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
114,115,0,URTASUN Pablo,31,Euskaltel - Euskadi,,5.0,1:18:081:18:08,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
115,116,0,TJALLINGII Maarten,33,Rabobank Cycling Team,,5.0,1:19:141:19:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
116,117,0,JÉRÔME Vincent,26,Team Europcar,,5.0,1:21:381:21:38,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
117,118,0,HINAULT Sébastien,37,AG2R La Mondiale,,5.0,1:25:381:25:38,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
118,119,0,DEHAES Kenny,26,Omega Pharma-Lotto,,5.0,1:31:491:31:49,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
