,Rnk,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
190,191,199,POSSONI Morris,26,Sky Procycling,,2:052:05,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
191,192,3,CORIONI Claudio,28,Acqua & Sapone,,2:272:27,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
192,193,8,SARMIENTO Cayetano José,24,Acqua & Sapone,,",,2:27",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
193,194,145,GOUROV Maxim,32,Pro Team Astana,,2:342:34,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
194,195,209,WILSON Matthew,33,Team Garmin - Cervélo,,2:382:38,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
195,196,117,SALERNO Cristiano,26,Liquigas - Cannondale,,2:432:43,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
196,197,25,ERMETI Giairo,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,2:522:52,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
197,198,87,LOSADA Alberto,29,Team Katusha,,2:532:53,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
198,199,215,CARDOSO Manuel Antonio Leal,28,RadioShack,,3:163:16,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
199,200,13,CHEREL Mikaël,25,AG2R La Mondiale,,3:173:17,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
200,201,55,CAZAUX Pierre,26,Euskaltel - Euskadi,,3:353:35,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
201,202,47,STORTONI Simone,25,Colnago - CSF Inox,,3:433:43,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
202,203,88,HORRACH Joan,37,Team Katusha,,3:583:58,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
203,204,89,KUSCHYNSKI Aleksandr,31,Team Katusha,,",,3:58",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
204,205,218,ROVNY Ivan,23,RadioShack,,4:094:09,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
205,206,203,PETERSON Tom,24,Team Garmin - Cervélo,,4:204:20,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
206,207,56,ARAMENDIA Javier,24,Euskaltel - Euskadi,,4:234:23,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
