,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
179,180,193,▲13,8,SARMIENTO Cayetano José,24,Acqua & Sapone,,2:392:39,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
180,181,194,▲13,145,GOUROV Maxim,32,Pro Team Astana,,2:462:46,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
181,182,188,▲6,208,STETINA Peter,23,Team Garmin - Cervélo,,2:492:49,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
182,183,196,▲13,117,SALERNO Cristiano,26,Liquigas - Cannondale,,2:552:55,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
183,184,151,▼33,93,MARZANO Marco,30,Lampre - ISD,,2:562:56,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
184,185,141,▼44,45,SAVINI Filippo,26,Colnago - CSF Inox,,",,2:56",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
185,186,154,▼32,86,VORGANOV Eduard,28,Team Katusha,,2:582:58,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
186,187,172,▼15,158,RICCI BITTI Davide,27,Farnese Vini-Neri-Sottoli,,3:013:01,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
187,188,168,▼20,154,RABOTTINI Matteo,23,Farnese Vini-Neri-Sottoli,,",,3:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
188,189,167,▼22,156,FAVILLI Elia,22,Farnese Vini-Neri-Sottoli,,",,3:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
189,190,192,▲2,3,CORIONI Claudio,28,Acqua & Sapone,,3:033:03,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
190,191,132,▼59,76,RABOŇ František,27,HTC - High Road,,3:163:16,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
191,192,199,▲7,215,CARDOSO Manuel Antonio Leal,28,RadioShack,,3:283:28,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
192,193,200,▲7,13,CHEREL Mikaël,25,AG2R La Mondiale,,3:293:29,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
193,194,197,▲3,25,ERMETI Giairo,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,3:373:37,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
194,195,198,▲3,87,LOSADA Alberto,29,Team Katusha,,3:463:46,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
195,196,201,▲5,55,CAZAUX Pierre,26,Euskaltel - Euskadi,,3:473:47,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
196,197,202,▲5,47,STORTONI Simone,25,Colnago - CSF Inox,,3:553:55,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
197,198,190,▼8,152,GIORDANI Leonardo,33,Farnese Vini-Neri-Sottoli,,3:563:56,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
198,199,204,▲5,89,KUSCHYNSKI Aleksandr,31,Team Katusha,,4:104:10,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
199,200,203,▲3,88,HORRACH Joan,37,Team Katusha,,",,4:10",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
200,201,195,▼6,209,WILSON Matthew,33,Team Garmin - Cervélo,,4:324:32,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
201,202,207,▲5,56,ARAMENDIA Javier,24,Euskaltel - Euskadi,,4:354:35,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
202,203,205,▲2,218,ROVNY Ivan,23,RadioShack,,5:025:02,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
203,204,206,▲2,203,PETERSON Tom,24,Team Garmin - Cervélo,,6:146:14,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
204,205,120,▼85,11,NOCENTINI Rinaldo,33,AG2R La Mondiale,,7:507:50,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
205,206,88,▼118,31,BARTON Chris,22,BMC Racing Team,,11:1311:13,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
206,207,133,▼74,73,GRETSCH Patrick,24,HTC - High Road,,11:2211:22,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
